City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,susuman,62.7833,148.1667,239.25,99,100,0.89,RU,1707523721
1,adamstown,-25.066,-130.1015,298.44,90,100,10.85,PN,1707523722
2,wailua homesteads,22.0669,-159.378,298.59,69,40,4.63,US,1707523722
3,port mathurin,-19.6833,63.4167,299.88,79,94,11.91,MU,1707523722
4,iqaluit,63.7506,-68.5145,241.09,86,13,3.54,CA,1707523723
5,west island,-12.1568,96.8225,301.14,78,59,5.14,CC,1707523528
6,novhorodka,48.3651,32.6578,276.28,96,100,2.93,UA,1707523723
7,port-aux-francais,-49.35,70.2167,281.07,96,76,13.33,TF,1707523723
8,karratha,-20.7377,116.8463,306.4,42,3,4.18,AU,1707523723
9,port elizabeth,-33.918,25.5701,292.09,79,44,1.79,ZA,1707523724
10,petropavlovsk-kamchatsky,53.0452,158.6483,260.48,80,75,5.0,RU,1707523724
11,waitangi,-43.9535,-176.5597,290.83,70,12,9.87,NZ,1707523721
12,new norfolk,-42.7826,147.0587,291.88,38,1,1.14,AU,1707523724
13,sijunjung,-0.6876,100.9537,295.31,100,100,0.9,ID,1707523724
14,lihue,21.9789,-159.3672,298.92,69,40,4.63,US,1707523470
15,papatowai,-46.5619,169.4708,283.12,99,93,2.79,NZ,1707523725
16,ushuaia,-54.8,-68.3,284.96,62,20,6.69,AR,1707523725
17,fort mcmurray,56.7268,-111.381,263.63,86,100,0.43,CA,1707523725
18,ruayer,43.0537,-5.5502,280.87,98,100,1.92,ES,1707523725
19,grytviken,-54.2811,-36.5092,277.67,97,100,5.38,GS,1707523725
20,vorkuta,67.5,64.0,250.37,90,66,6.5,RU,1707523726
21,olonkinbyen,70.9221,-8.7187,270.06,62,8,3.48,SJ,1707523726
22,edinburgh of the seven seas,-37.0676,-12.3116,292.89,94,99,10.64,SH,1707523726
23,bumba,2.1833,22.4667,297.85,47,70,0.9,CD,1707523726
24,margaret river,-33.95,115.0667,299.64,36,0,2.72,AU,1707523726
25,pechora,65.1472,57.2244,254.18,99,61,2.24,RU,1707523727
26,albany,42.6001,-73.9662,282.38,69,35,1.75,US,1707523727
27,yung shue wan,22.2333,114.1167,286.27,73,100,0.89,HK,1707523727
28,al ghayzah,16.2079,52.176,295.09,70,0,1.6,YE,1707523727
29,jamestown,42.097,-79.2353,286.49,61,0,3.6,US,1707523624
30,avarua,-21.2078,-159.775,302.18,74,75,8.23,CK,1707523728
31,callao,-12.0667,-77.15,302.44,69,0,5.66,PE,1707523587
32,el dorado,38.7666,-120.5177,280.72,87,94,1.68,US,1707523728
33,wynyard,-41.0,145.7167,288.52,53,100,4.23,AU,1707523728
34,dawson creek,55.7666,-120.2362,268.28,82,44,1.28,CA,1707523728
35,grand falls-windsor,48.9332,-55.6649,260.98,100,48,1.29,CA,1707523729
36,labasa,-16.4167,179.3833,300.8,89,100,2.24,FJ,1707523729
37,newport,51.5877,-2.9984,281.45,95,89,2.56,GB,1707523579
38,vilyuysk,63.7553,121.6247,242.04,100,100,0.45,RU,1707523729
39,saipan,15.1355,145.701,301.54,65,40,10.29,MP,1707523564
40,porto novo,6.4965,2.6036,301.05,83,35,2.28,BJ,1707523519
41,puerto natales,-51.7236,-72.4875,286.33,85,38,1.69,CL,1707523730
42,vorgashor,67.5833,63.95,250.13,91,66,7.45,RU,1707523730
43,guerrero negro,27.9769,-114.0611,288.6,57,58,8.4,MX,1707523461
44,luanda,-8.8368,13.2343,300.32,83,80,5.25,AO,1707523730
45,manokwari,-0.8667,134.0833,301.16,73,100,3.09,ID,1707523445
46,coahuayana de hidalgo,18.7,-103.6583,298.74,62,15,2.32,MX,1707523731
47,whitehorse,60.7161,-135.0538,266.49,82,100,12.07,CA,1707523731
48,rio grande,-32.035,-52.0986,299.23,92,21,7.8,BR,1707523731
49,san juan bautista,-14.0108,-75.7358,300.81,58,56,4.27,PE,1707523731
50,atafu village,-8.5421,-172.5159,302.64,73,88,6.28,TK,1707523731
51,longyearbyen,78.2186,15.6401,268.06,68,40,9.26,SJ,1707523732
